timestamp_utc,engine,symbol,reason,score,metrics
2026-05-06T19:59:24.587754+00:00,orderflow,WIFUSDT,trade_notional_too_low,,tape_total=1951.75 | min=30000.0
2026-05-06T19:59:24.982996+00:00,orderflow,TAOUSDT,trade_notional_too_low,,tape_total=128.64 | min=30000.0
2026-05-06T19:59:25.506772+00:00,orderflow,FARTCOINUSDT,trade_notional_too_low,,tape_total=1321.38 | min=30000.0
2026-05-06T19:59:26.010308+00:00,orderflow,ADAUSDT,trade_notional_too_low,,tape_total=0 | min=30000.0
2026-05-06T19:59:26.599826+00:00,orderflow,NEARUSDT,trade_notional_too_low,,tape_total=735.36 | min=30000.0
2026-05-06T19:59:30.415392+00:00,orderflow,SUIUSDT,trade_notional_too_low,,tape_total=1280.65 | min=30000.0
2026-05-06T19:59:30.956296+00:00,orderflow,CLUSDT,trade_notional_too_low,,tape_total=0 | min=30000.0
2026-05-06T19:59:31.607790+00:00,orderflow,ENAUSDT,trade_notional_too_low,,tape_total=5516.35 | min=30000.0
2026-05-06T19:59:32.034147+00:00,orderflow,ICPUSDT,trade_notional_too_low,,tape_total=772.54 | min=30000.0
2026-05-06T19:59:32.476337+00:00,orderflow,DASHUSDT,trade_notional_too_low,,tape_total=461.24 | min=30000.0
2026-05-06T19:59:44.978385+00:00,orderflow,BTCUSDT,early_score_too_low,3.0,early_score=3.0 | support_dist_bps=35.63 | imbalance=-0.409 | bid_persistence=0.0 | support_holds=0 | compression_ratio=0.34
2026-05-06T19:59:45.380481+00:00,orderflow,ETHUSDT,reward_to_r1_too_low,3.8,early_score=3.8 | support_dist_bps=30.27 | imbalance=-0.528 | bid_persistence=0.0 | support_holds=7 | compression_ratio=0.614 | reward_to_r1=0.215 | resistance_1=2347.85 | resistance_2=2358.3301184 | tp1_buffer_bps=12.0 | tp2_buffer_bps=18.0
2026-05-06T19:59:45.803345+00:00,orderflow,SOLUSDT,early_score_too_low,1.8,early_score=1.8 | support_dist_bps=44.46 | imbalance=-0.178 | bid_persistence=0.0 | support_holds=2 | compression_ratio=0.643
2026-05-06T19:59:46.217054+00:00,orderflow,TONUSDT,trade_notional_too_low,,tape_total=16079.91 | min=30000.0
2026-05-06T19:59:46.609142+00:00,orderflow,ZECUSDT,early_score_too_low,2.3,early_score=2.3 | support_dist_bps=104.57 | imbalance=-0.59 | bid_persistence=0.0 | support_holds=0 | compression_ratio=0.407
2026-05-06T19:59:46.995537+00:00,orderflow,LABUSDT,trade_notional_too_low,,tape_total=6108.01 | min=30000.0
2026-05-06T19:59:48.319682+00:00,orderflow,DOGEUSDT,trade_notional_too_low,,tape_total=6013.15 | min=30000.0
2026-05-06T19:59:48.730336+00:00,orderflow,HYPEUSDT,trade_notional_too_low,,tape_total=3813.87 | min=30000.0
2026-05-06T19:59:49.106237+00:00,orderflow,WIFUSDT,trade_notional_too_low,,tape_total=13066.82 | min=30000.0
2026-05-06T19:59:49.502789+00:00,orderflow,TAOUSDT,trade_notional_too_low,,tape_total=3103.87 | min=30000.0
2026-05-06T19:59:49.925084+00:00,orderflow,FARTCOINUSDT,trade_notional_too_low,,tape_total=9175.87 | min=30000.0
2026-05-06T19:59:50.308044+00:00,orderflow,ADAUSDT,trade_notional_too_low,,tape_total=3986.51 | min=30000.0
2026-05-06T19:59:51.256913+00:00,orderflow,NEARUSDT,trade_notional_too_low,,tape_total=1952.67 | min=30000.0
2026-05-06T19:59:51.714421+00:00,orderflow,SUIUSDT,trade_notional_too_low,,tape_total=17112.7 | min=30000.0
2026-05-06T19:59:52.246861+00:00,orderflow,CLUSDT,trade_notional_too_low,,tape_total=5227.3 | min=30000.0
2026-05-06T19:59:53.151119+00:00,orderflow,ENAUSDT,trade_notional_too_low,,tape_total=5262.8 | min=30000.0
2026-05-06T19:59:53.524950+00:00,orderflow,ICPUSDT,trade_notional_too_low,,tape_total=1781.87 | min=30000.0
2026-05-06T19:59:54.322978+00:00,orderflow,DASHUSDT,trade_notional_too_low,,tape_total=880.47 | min=30000.0
2026-05-06T20:00:06.731092+00:00,orderflow,BTCUSDT,early_score_too_low,3.5,early_score=3.5 | support_dist_bps=37.01 | imbalance=-0.156 | bid_persistence=0.0 | support_holds=0 | compression_ratio=0.34
2026-05-06T20:00:07.267300+00:00,orderflow,ETHUSDT,reward_to_r1_too_low,4.3,early_score=4.3 | support_dist_bps=32.11 | imbalance=-0.898 | bid_persistence=0.0 | support_holds=6 | compression_ratio=0.614 | reward_to_r1=0.205 | resistance_1=2348.29 | resistance_2=2359.28653 | tp1_buffer_bps=12.0 | tp2_buffer_bps=18.0
2026-05-06T20:00:08.045777+00:00,orderflow,TONUSDT,early_score_too_low,3.5,early_score=3.5 | support_dist_bps=123.35 | imbalance=0.028 | bid_persistence=0.0 | support_holds=1 | compression_ratio=0.698
2026-05-06T20:00:08.664801+00:00,orderflow,ZECUSDT,trade_notional_too_low,,tape_total=11329.54 | min=30000.0
2026-05-06T20:00:09.942487+00:00,orderflow,DOGEUSDT,trade_notional_too_low,,tape_total=16704.26 | min=30000.0
2026-05-06T20:00:10.381698+00:00,orderflow,HYPEUSDT,trade_notional_too_low,,tape_total=24833.31 | min=30000.0
2026-05-06T20:00:10.809190+00:00,orderflow,WIFUSDT,trade_notional_too_low,,tape_total=17295.15 | min=30000.0
2026-05-06T20:00:11.235898+00:00,orderflow,TAOUSDT,trade_notional_too_low,,tape_total=12320.01 | min=30000.0
2026-05-06T20:00:11.653922+00:00,orderflow,FARTCOINUSDT,trade_notional_too_low,,tape_total=15624.25 | min=30000.0
2026-05-06T20:00:12.412330+00:00,orderflow,ADAUSDT,trade_notional_too_low,,tape_total=29055.67 | min=30000.0
2026-05-06T20:00:12.896116+00:00,orderflow,NEARUSDT,trade_notional_too_low,,tape_total=23598.2 | min=30000.0
2026-05-06T20:00:13.337972+00:00,orderflow,SUIUSDT,trade_notional_too_low,,tape_total=7580.81 | min=30000.0
2026-05-06T20:00:13.855229+00:00,orderflow,CLUSDT,trade_notional_too_low,,tape_total=17403.94 | min=30000.0
2026-05-06T20:00:14.456919+00:00,orderflow,ENAUSDT,early_score_too_low,2.3,early_score=2.3 | support_dist_bps=126.12 | imbalance=-0.033 | bid_persistence=0.0 | support_holds=0 | compression_ratio=0.503
